name	price
Lucita Padded Column Midaxi Dress	S$ 69.00
Kristina Padded Twist Back Dress	S$ 65.00
Jaena Drape Bodycon Midi Dress	S$ 59.00
Olym Ribbed Knit Midi Dress	S$ 55.00
Graziela Classic Shirt Dress	S$ 59.00
Faiza Cotton Babydoll Mini Dress	S$ 55.00
Shaina Knit Bodycon Dress	  
Bryle Textured Cotton Midaxi Dress	S$ 75.00
